Image,Name,Class,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: DAPI mean,Nucleus: EpCAM_E-Cadherin mean,Nucleus: cCASP3 mean,Cell: Area,Cell: EpCAM_E-Cadherin mean,Cell: cCASP3 mean,Cytoplasm: EpCAM_E-Cadherin mean,Cytoplasm: cCASP3 mean,Nucleus/Cell area ratio
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,130.26,114.4,41.5,472.9053,569.9467,879.5562,140.25,547.9609,741.0978,538.5063,681.5573,0.2918
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,118.31,117.14,72,345.7138,535.4069,197.7793,180,648.1013,201.0097,723.9281,203.1833,0.395
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,PathCellObject,,107.63,120.91,26.5,356.7297,278.4685,193.8829,100.25,248.5636,175.3317,237.1172,168.231,0.2712
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,173.7,125.7,68,207.5018,678.8,240.5854,154,1895.9045,233.4741,2871.7173,227.7726,0.4363
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,185.42,124.64,19.25,343.6154,1342.8206,733.6411,77,1069.9323,391.6032,978.1854,276.6078,0.2342
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,124.16,130.91,30.75,372.6535,589.3858,190.2598,100,592.6468,200.6095,594.1527,205.3891,0.3034
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,115.7,133.08,42.5,182.2299,1461.5,202.3621,104.5,1382.9786,196.2038,1327.8871,191.8831,0.4063
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,179.83,133.19,17,174.4853,992.353,196.5882,66.5,1265.0854,203.9071,1357.3533,206.3831,0.2457
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,245.34,134.71,23.75,747.5859,282.0707,174.1414,98.75,523.7758,164.262,604.0739,160.9799,0.2395
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,110.63,139.75,43.25,148.7247,1187.0505,189.7528,123.75,879.2712,185.2854,705.9019,182.769,0.3539
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,cCASP3,cCASP3,132.83,144.06,28.5,462.4742,290.6121,202.1552,106.75,244.4791,312.1814,227.4363,352.828,0.2596
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,258.08,149.2,72.75,263.9864,2686.4761,401.5136,187,1757.734,298.7965,1161.5546,232.8603,0.3861
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,PathCellObject,,144.62,153.53,45.5,173.623,380.7596,194.3825,136.75,234.362,174.8867,160.761,165.0852,0.3292
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,cCASP3,cCASP3,125.66,161.25,27.25,199.9196,256.6607,2010.2411,84.75,226.4532,1247.2251,211.7435,875.6696,0.3231
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,cCASP3,cCASP3,126.2,168.35,23,210.4286,337.2245,2478.7346,67.75,324.5073,1884.1898,317.4261,1553.1364,0.347
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,PathCellObject,,121.51,175.6,51.75,185.5809,297.3762,230.4714,147,266.4619,238.2047,249.4226,242.4672,0.3523
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,cCASP3,cCASP3,105.15,175.5,28,199.7807,570.0088,280.5526,105.75,261.684,319.3962,148.3,333.6806,0.2566
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,PathCellObject,,224.82,181.1,45,143.0652,394.0109,199.4891,131,286.5237,215.8691,228.863,224.656,0.3428
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,PathCellObject,,116.09,183.9,31.5,315.1032,301.254,197.5318,105.75,268.0896,203.125,254.0671,205.4899,0.2863
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,PathCellObject,,200.18,187.6,46.25,268.4011,281.139,335.4064,136.75,280.415,239.3181,280.0389,189.4055,0.3344
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,224.58,192.09,32.75,250.1333,602.0889,627.6,108,466.3217,507.6736,404.6094,453.1616,0.3003
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,123.61,198.19,142.25,341.2745,1205.0735,734.3916,281.25,1320.9734,495.2236,1440.4235,248.7297,0.4997
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,190.37,198.96,100,327.835,448.3075,259.955,211.5,588.2606,223.6498,713.2188,191.2344,0.4673
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,103.69,201.47,73.5,258.4814,975.4203,402.3932,182,2122.55,296.0768,2902.281,223.8111,0.3984
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,201.69,200.05,13.5,214.6897,676.3965,224.7069,68.5,565.9055,201.9709,536.3733,195.894,0.184
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,116.75,207.89,39.75,223.8841,2334.3779,394.7195,114.25,3281.2065,336.1478,3805.8008,303.696,0.3528
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,207.55,208.13,21.75,241.0737,513.621,347.1579,72,693.5256,459.3481,779.8434,513.1768,0.3025
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,198.85,216.95,89.25,173.7418,1359.8737,938.2637,237.5,1054.4764,692.7623,866.3807,541.5567,0.3777
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,213.65,217.09,95.75,387.2519,391.0951,278.6478,210.25,442.4002,322.6389,486.4569,360.415,0.459
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,172.75,226.65,151,187.6866,524.3731,337.728,318.75,607.6476,259.3203,682.1498,189.1721,0.4717
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,PathCellObject,,223.93,240.52,29.75,398.0714,284.5238,188.1984,111,227.6138,181.6741,205.3447,179.1211,0.2671
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 05).tif,PathCellObject,,219.77,251.19,34.5,414.8116,311.3986,196.471,114.5,232.1463,180.5393,197.9688,173.6687,0.2931
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,201.23,55.82,28.25,226.4655,710.6896,175.9052,87.5,602.4759,165.3796,549.5106,160.2278,0.3134
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,194.52,60.95,28.25,210.3644,745.7034,171.2288,93.75,621.5782,163.992,565.027,160.695,0.3069
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,PathCellObject,,150.44,69.19,35.5,216.1319,330.6111,181.625,118.25,313.6176,194.6113,306.247,200.244,0.2914
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,134.63,74.25,93.5,190.5093,344.2838,214.9708,214.75,356.2258,210.5285,365.5664,207.0539,0.4366
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,PathCellObject,,185.56,76.51,66.25,178.2313,365.9739,183.3321,179,303.0725,178.7699,265.5278,176.0468,0.3707
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,PathCellObject,,245.46,91.16,116.25,190.1842,359.2013,187.3919,261.75,286.5043,173.1681,227.9707,161.7155,0.4436
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,PathCellObject,,170.98,107.9,30.75,399.0236,252.1024,173.1024,113.5,207.3173,165.0022,190.0818,161.8848,0.2693
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,146.63,114.06,43.5,176.7528,1027.691,184.8315,130.5,1255.4724,182.9219,1372.317,181.9424,0.3315
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,PathCellObject,,76.33,114.28,24.75,190.0481,189.9423,179.75,97.25,178.2097,170.8184,173.9582,167.5819,0.2549
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,131.92,115.37,68.75,282.5409,446.3523,308.3345,181.5,615.4006,253.9753,721.433,219.8795,0.3814
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,161.04,118.37,32.5,206.1288,758.3561,224.3485,112.5,920.2478,199.104,987.0281,188.6906,0.2852
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,170.46,121.35,72,284.5258,627.0481,262.9106,156.5,698.5669,225.1831,760.3234,192.6053,0.4559
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,PathCellObject,,73.99,124.28,40,209.4908,361.773,238.4908,124.75,308.806,223.972,283.187,216.9496,0.3169
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,150.94,124.48,25.25,229.1635,1046.7019,182.0288,87.5,1700.2661,187.0084,1968.9249,189.0553,0.2795
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,145.42,128.98,13.75,193.1311,432.3443,322.0984,51.5,631.2211,264.0337,713.7483,239.9388,0.2855
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,173.77,131.59,34.75,190.0141,1480.1127,220.6408,127,1435.196,205.8765,1417.8641,200.1794,0.2751
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,133.3,136.22,52.25,201.5768,404.3395,199.1116,140,504.7273,189.672,567.1069,183.8064,0.3701
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,143.54,138.06,53.75,228.9726,409.4292,290.8402,115,605.7056,249.8398,782.5967,212.8889,0.4635
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,156.25,136.8,91.5,276.3242,694.1063,269.6049,179.75,1296.129,241.3121,1920.2599,211.9802,0.5012
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,188.18,143.21,74,271.2475,389.8949,259.2305,156.5,763.0206,226.3873,1091.594,197.4657,0.4695
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,75.93,145.87,109.75,182.4442,388.0296,230.4989,235.25,563.8347,258.7415,716.6634,283.2931,0.4639
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,163.39,148.4,106.75,331.7349,1155.6326,266.2628,206.25,1775.1331,233.029,2446.1284,197.0327,0.5131
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,PathCellObject,,225.32,145.49,29.5,343.8417,221.8167,344.1917,108.75,226.9794,281.5068,228.9277,257.8522,0.2675
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,196.1,151.01,90.25,268.2694,351.3,277.6333,182,958.937,234.5069,1550.1514,192.5459,0.4848
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,150.24,152.33,70,324.9288,923.1815,234.274,171.5,2391.4036,212.4441,3402.6055,197.4093,0.4043
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,136.68,155.51,52.5,186.0093,325.2664,473.6028,144,370.0832,346.5737,396.5041,271.6859,0.363
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,231.6,161.94,173.5,220.623,671.0158,225.8014,350,776.3745,205.8595,879.9448,186.256,0.4948
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,73.34,161.5,91,266.1913,354.4836,3773.123,184.75,378.1213,3265.6941,401.1303,2771.7607,0.4917
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,84.72,162.96,45.5,224.4731,377.0161,618.7043,119,369.6088,596.5063,364.8904,582.3665,0.3821
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,99.53,163.93,112,264.5679,603.9554,308.755,242.5,1429.8423,249.4072,2141.595,198.261,0.4609
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,PathCellObject,,124.41,163.28,35,350.4028,314.2361,192.3542,118.5,300.0779,188.3074,293.9184,186.5468,0.2895
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,191.07,162.69,20.75,298.4419,452.6977,282.8837,55,593.8162,228.3184,682.4015,194.0657,0.364
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,141.04,168.22,88.5,363.8655,320.6499,625.6107,191.25,373.8791,410.3797,420.0024,223.8811,0.4615
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,183.94,166.89,42.5,345.1111,377.386,330.8012,98.5,469.1342,254.9089,539.1741,196.9732,0.4201
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,193.9,170.57,26.75,229.7387,496.8378,215.1261,82,431.4277,191.4879,398.5746,179.6154,0.3265
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,176.63,171.22,27.75,257.9035,789.4386,216.3947,78.75,939.4101,197.5615,1023.6306,186.9852,0.3529
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,156.61,173.39,71.25,228.045,743.8512,200.0796,184,905.3329,193.053,1009.736,188.5101,0.3849
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,168.99,172.76,29.5,318.5935,1456.9756,206.3821,89.25,1490.5444,206.4222,1507.9662,206.443,0.3424
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,127.42,174,27.5,177.1429,534.4821,193.8571,99.25,431.6733,188.9352,391.8304,187.0277,0.267
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,PathCellObject,,76.25,177.05,50,221.3252,288.4806,221.8252,149.75,212.395,200.4483,172.6142,189.2716,0.3369
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,145.37,180.13,58.25,269.3277,296.9702,219.434,122.5,414.0121,211.4858,520.2085,204.2741,0.4696
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,188.23,182.95,49,257.76,547.195,237.725,143.5,604.6017,209.2974,635.2187,194.136,0.3447
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,132.66,180.35,13.25,243.9454,414.5091,209.7455,54.5,392.3333,197.3604,385.0299,193.2814,0.2267
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,PathCellObject,,239.46,182.17,34.5,189.7589,284.5461,174.9007,119.5,248.4042,167.4875,233.3717,164.4041,0.2844
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,PathCellObject,,67.87,181.74,14.75,166.6774,153.0968,172.7097,71.75,145.0138,172.0484,142.8062,171.8678,0.1993
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,137.64,188.87,93.75,268.2128,430.1942,256.5452,161,545.0479,242.1036,704.4022,222.0664,0.5769
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,178.56,184.08,19.25,185.5488,595.6829,197.5854,89.25,722.451,199.2997,760.2509,199.8109,0.2165
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,203.83,188.56,48.25,190.196,1236.4473,183.397,151.25,1626.7767,185.1741,1816.2292,186.0366,0.3213
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,149.28,190.78,33.75,187.5942,745.3043,237.7174,85,778.6059,226.0794,801.3564,218.1287,0.3986
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,107.73,192.97,96.75,281.3979,868.5969,216.2092,245.25,822.209,193.368,791.3362,178.1664,0.3931
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,156.39,191.49,24.25,176.4545,629.3737,199.5556,81,845.6799,191.3963,939.1921,187.869,0.2936
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,192.4,200.49,153.5,345.0829,374.4683,357.1414,289,543.1687,286.2509,734.9445,205.6636,0.5266
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,PathCellObject,,256.1,196.17,38,460.0319,317,211.3439,116.75,227.9062,214.1258,183.0737,215.5256,0.327
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,137.27,199.52,27.25,184.2,531.6522,190.687,90.75,537.3553,186.3003,540,184.2661,0.3103
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,177.81,199.55,47.25,187.7448,861.0938,222.9479,140,977.274,206.8078,1037.5621,198.4324,0.3357
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,243.92,199.47,46,377.4521,1730.7394,236.2181,120.75,1464.2222,224.5679,1296.0839,217.2181,0.3796
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,232.28,203.27,53.25,245.7443,3247.4019,310.9635,143.25,2763.1511,256.7552,2466.0896,223.5014,0.3765
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,PathCellObject,,211.6,202.58,56,273.7851,294.9167,232.4781,142.25,338.676,200.6077,367.7639,179.4227,0.396
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,256.65,206.3,18.25,261.8133,204.2,177.28,71.5,373.3841,193.4118,432.6776,199.0654,0.2446
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin: cCASP3,EpCAM_E-Cadherin: cCASP3,247.51,210.15,43,591.5517,347.454,749.546,117.75,526.4409,464.6456,630.2534,299.4033,0.3583
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,204.25,212.11,57,220.2155,427.6552,257.6379,156,615.096,222.3072,725.7481,201.4504,0.3685
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 06).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,185.53,215.1,63.25,225.6588,338.4627,208.702,161,360.5573,195.8359,374.9668,187.445,0.3918
